## cite_days=180
# gene	cites	cite_delta	cite_rank	cite_rank_delta	views	view_delta	view_rank	view_rank_delta
LOC126860137	0	-5	9164	50	0	0
LOC126860138	0	-5	9164	50	0	0
LOC126860139	0	-5	9164	50	0	0
LOC126860140	0	-5	9164	50	0	0
LOC126860141	0	-5	9164	50	0	0
LOC126860142	0	-5	9164	50	0	0
LOC126860143	0	-5	9164	50	0	0
LOC126860144	0	-5	9164	50	0	0
LOC126860145	0	-5	9164	50	0	0
LOC126860146	0	-5	9164	50	0	0
LOC126860147	0	-5	9164	50	0	0
LOC126860148	0	-5	9164	50	0	0
LOC126860149	0	-5	9164	50	0	0
LOC126860150	0	-5	9164	50	0	0
LOC126860151	0	-5	9164	50	0	0
LOC126860152	0	-5	9164	50	0	0
LOC126860153	0	-5	9164	50	0	0
LOC126860154	0	-5	9164	50	0	0
LOC126860155	0	-5	9164	50	0	0
LOC126860156	0	-5	9164	50	0	0
LOC126860157	0	-5	9164	50	0	0
LOC126860158	0	-5	9164	50	0	0
LOC126860159	0	-5	9164	50	0	0
LOC126860160	0	-5	9164	50	0	0
LOC126860161	0	-5	9164	50	0	0
LOC126860162	0	-5	9164	50	0	0
LOC126860163	0	-5	9164	50	0	0
LOC126860164	0	-5	9164	50	0	0
LOC126860165	0	-5	9164	50	0	0
LOC126860166	0	-5	9164	50	0	0
LOC126860167	0	-5	9164	50	0	0
LOC126860168	0	-5	9164	50	0	0
LOC126860169	0	-5	9164	50	0	0
LOC126860170	0	-5	9164	50	0	0
LOC126860171	0	-5	9164	50	0	0
LOC126860172	0	-5	9164	50	0	0
LOC126860173	0	-5	9164	50	0	0
LOC126860174	0	-5	9164	50	0	0
LOC126860175	0	-5	9164	50	0	0
LOC126860176	0	-5	9164	50	0	0
LOC126860177	0	-5	9164	50	0	0
LOC126860178	0	-5	9164	50	0	0
LOC126860179	0	-5	9164	50	0	0
LOC126860180	0	-5	9164	50	0	0
LOC126860181	0	-5	9164	50	0	0
LOC126860182	0	-5	9164	50	0	0
LOC126860183	0	-5	9164	50	0	0
LOC126860184	0	-5	9164	50	0	0
LOC126860185	0	-5	9164	50	0	0
LOC126860186	0	-5	9164	50	0	0
LOC126860187	0	-5	9164	50	0	0
LOC126860188	0	-5	9164	50	0	0
LOC126860189	0	-5	9164	50	0	0
LOC126860190	0	-5	9164	50	0	0
LOC126860191	0	-5	9164	50	0	0
LOC126860192	0	-5	9164	50	0	0
LOC126860193	0	-5	9164	50	0	0
LOC126860194	0	-5	9164	50	0	0
LOC126860195	0	-5	9164	50	0	0
LOC126860196	0	-5	9164	50	0	0
LOC126860197	0	-5	9164	50	0	0
LOC126860198	0	-5	9164	50	0	0
LOC126860199	0	-5	9164	50	0	0
LOC126860200	0	-5	9164	50	0	0
LOC126860201	0	-5	9164	50	0	0
LOC126860202	0	-5	9164	50	0	0
LOC126860203	0	-5	9164	50	0	0
LOC126860204	0	-5	9164	50	0	0
LOC126860205	0	-5	9164	50	0	0
LOC126860206	0	-5	9164	50	0	0
LOC126860207	0	-5	9164	50	0	0
LOC126860208	0	-5	9164	50	0	0
LOC126860209	0	-5	9164	50	0	0
LOC126860210	0	-5	9164	50	0	0
LOC126860211	0	-5	9164	50	0	0
LOC126860212	0	-5	9164	50	0	0
LOC126860213	0	-5	9164	50	0	0
LOC126860214	0	-5	9164	50	0	0
LOC126860215	0	-5	9164	50	0	0
LOC126860216	0	-5	9164	50	0	0
LOC126860217	0	-5	9164	50	0	0
LOC126860218	0	-5	9164	50	0	0
LOC126860219	0	-5	9164	50	0	0
LOC126860220	0	-5	9164	50	0	0
LOC126860221	0	-5	9164	50	0	0
LOC126860222	0	-5	9164	50	0	0
LOC126860223	0	-5	9164	50	0	0
LOC126860224	0	-5	9164	50	0	0
LOC126860225	0	-5	9164	50	0	0
LOC126860226	0	-5	9164	50	0	0
LOC126860227	0	-5	9164	50	0	0
LOC126860228	0	-5	9164	50	0	0
LOC126860229	0	-5	9164	50	0	0
LOC126860230	0	-5	9164	50	0	0
LOC126860231	0	-5	9164	50	0	0
LOC126860232	0	-5	9164	50	0	0
LOC126860233	0	-5	9164	50	0	0
LOC126860234	0	-5	9164	50	0	0
LOC126860235	0	-5	9164	50	0	0
LOC126860236	0	-5	9164	50	0	0
LOC126860237	0	-5	9164	50	0	0
LOC126860238	0	-5	9164	50	0	0
LOC126860239	0	-5	9164	50	0	0
LOC126860240	0	-5	9164	50	0	0
LOC126860241	0	-5	9164	50	0	0
LOC126860242	0	-5	9164	50	0	0
LOC126860243	0	-5	9164	50	0	0
LOC126860244	0	-5	9164	50	0	0
LOC126860245	0	-5	9164	50	0	0
LOC126860246	0	-5	9164	50	0	0
LOC126860247	0	-5	9164	50	0	0
LOC126860248	0	-5	9164	50	0	0
LOC126860249	0	-5	9164	50	0	0
LOC126860250	0	-5	9164	50	0	0
LOC126860251	0	-5	9164	50	0	0
LOC126860252	0	-5	9164	50	0	0
LOC126860253	0	-5	9164	50	0	0
LOC126860254	0	-5	9164	50	0	0
LOC126860255	0	-5	9164	50	0	0
LOC126860256	0	-5	9164	50	0	0
LOC126860257	0	-5	9164	50	0	0
LOC126860258	0	-5	9164	50	0	0
LOC126860259	0	-5	9164	50	0	0
LOC126860260	0	-5	9164	50	0	0
LOC126860261	0	-5	9164	50	0	0
LOC126860262	0	-5	9164	50	0	0
LOC126860263	0	-5	9164	50	0	0
LOC126860264	0	-5	9164	50	0	0
LOC126860265	0	-5	9164	50	0	0
LOC126860266	0	-5	9164	50	0	0
LOC126860267	0	-5	9164	50	0	0
LOC126860268	0	-5	9164	50	0	0
LOC126860269	0	-5	9164	50	0	0
LOC126860270	0	-5	9164	50	0	0
LOC126860271	0	-5	9164	50	0	0
LOC126860272	0	-5	9164	50	0	0
LOC126860273	0	-5	9164	50	0	0
LOC126860274	0	-5	9164	50	0	0
LOC126860275	0	-5	9164	50	0	0
LOC126860276	0	-5	9164	50	0	0
LOC126860277	0	-5	9164	50	0	0
LOC126860278	0	-5	9164	50	0	0
LOC126860279	0	-5	9164	50	0	0
LOC126860280	0	-5	9164	50	0	0
LOC126860281	0	-5	9164	50	0	0
LOC126860282	0	-5	9164	50	0	0
LOC126860283	0	-5	9164	50	0	0
LOC126860284	0	-5	9164	50	0	0
LOC126860285	0	-5	9164	50	0	0
LOC126860286	0	-5	9164	50	0	0
LOC126860287	0	-5	9164	50	0	0
LOC126860288	0	-5	9164	50	0	0
LOC126860289	0	-5	9164	50	0	0
LOC126860290	0	-5	9164	50	0	0
LOC126860291	0	-5	9164	50	0	0
LOC126860292	0	-5	9164	50	0	0
LOC126860293	0	-5	9164	50	0	0
LOC126860294	0	-5	9164	50	0	0
LOC126860295	0	-5	9164	50	0	0
LOC126860296	0	-5	9164	50	0	0
LOC126860297	0	-5	9164	50	0	0
LOC126860298	0	-5	9164	50	0	0
LOC126860299	0	-5	9164	50	0	0
LOC126860300	0	-5	9164	50	0	0
LOC126860301	0	-5	9164	50	0	0
LOC126860302	0	-5	9164	50	0	0
LOC126860303	0	-5	9164	50	0	0
LOC126860304	0	-5	9164	50	0	0
LOC126860305	0	-5	9164	50	0	0
LOC126860306	0	-5	9164	50	0	0
LOC126860307	0	-5	9164	50	0	0
LOC126860308	0	-5	9164	50	0	0
LOC126860309	0	-5	9164	50	0	0
LOC126860310	0	-5	9164	50	0	0
LOC126860311	0	-5	9164	50	0	0
LOC126860312	0	-5	9164	50	0	0
LOC126860313	0	-5	9164	50	0	0
LOC126860314	0	-5	9164	50	0	0
LOC126860315	0	-5	9164	50	0	0
LOC126860316	0	-5	9164	50	0	0
LOC126860317	0	-5	9164	50	0	0
LOC126860318	0	-5	9164	50	0	0
LOC126860319	0	-5	9164	50	0	0
LOC126860320	0	-5	9164	50	0	0
LOC126860321	0	-5	9164	50	0	0
LOC126860322	0	-5	9164	50	0	0
LOC126860323	0	-5	9164	50	0	0
LOC126860324	0	-5	9164	50	0	0
LOC126860325	0	-5	9164	50	0	0
LOC126860326	0	-5	9164	50	0	0
LOC126860327	0	-5	9164	50	0	0
LOC126860328	0	-5	9164	50	0	0
LOC126860329	0	-5	9164	50	0	0
LOC126860330	0	-5	9164	50	0	0
LOC126860331	0	-5	9164	50	0	0
LOC126860332	0	-5	9164	50	0	0
LOC126860333	0	-5	9164	50	0	0
LOC126860334	0	-5	9164	50	0	0
LOC126860335	0	-5	9164	50	0	0
LOC126860336	0	-5	9164	50	0	0
LOC126860337	0	-5	9164	50	0	0
LOC126860338	0	-5	9164	50	0	0
LOC126860339	0	-5	9164	50	0	0
LOC126860340	0	-5	9164	50	0	0
LOC126860341	0	-5	9164	50	0	0
LOC126860342	0	-5	9164	50	0	0
LOC126860343	0	-5	9164	50	0	0
LOC126860344	0	-5	9164	50	0	0
LOC126860345	0	-5	9164	50	0	0
LOC126860346	0	-5	9164	50	0	0
LOC126860347	0	-5	9164	50	0	0
LOC126860348	0	-5	9164	50	0	0
LOC126860349	0	-5	9164	50	0	0
LOC126860350	0	-5	9164	50	0	0
LOC126860351	0	-5	9164	50	0	0
LOC126860352	0	-5	9164	50	0	0
LOC126860353	0	-5	9164	50	0	0
LOC126860354	0	-5	9164	50	0	0
LOC126860355	0	-5	9164	50	0	0
LOC126860356	0	-5	9164	50	0	0
LOC126860357	0	-5	9164	50	0	0
LOC126860358	0	-5	9164	50	0	0
LOC126860359	0	-5	9164	50	0	0
LOC126860360	0	-5	9164	50	0	0
LOC126860361	0	-5	9164	50	0	0
LOC126860362	0	-5	9164	50	0	0
LOC126860363	0	-5	9164	50	0	0
LOC126860364	0	-5	9164	50	0	0
LOC126860365	0	-5	9164	50	0	0
LOC126860366	0	-5	9164	50	0	0
LOC126860367	0	-5	9164	50	0	0
LOC126860368	0	-5	9164	50	0	0
LOC126860369	0	-5	9164	50	0	0
LOC126860370	0	-5	9164	50	0	0
LOC126860371	0	-5	9164	50	0	0
LOC126860372	0	-5	9164	50	0	0
LOC126860373	0	-5	9164	50	0	0
LOC126860374	0	-5	9164	50	0	0
LOC126860375	0	-5	9164	50	0	0
LOC126860376	0	-5	9164	50	0	0
LOC126860377	0	-5	9164	50	0	0
LOC126860378	0	-5	9164	50	0	0
LOC126860379	0	-5	9164	50	0	0
LOC126860380	0	-5	9164	50	0	0
LOC126860381	0	-5	9164	50	0	0
LOC126860382	0	-5	9164	50	0	0
LOC126860383	0	-5	9164	50	0	0
LOC126860384	0	-5	9164	50	0	0
LOC126860385	0	-5	9164	50	0	0
LOC126860386	0	-5	9164	50	0	0
LOC126860387	0	-5	9164	50	0	0
LOC126860388	0	-5	9164	50	0	0
LOC126860389	0	-5	9164	50	0	0
LOC126860390	0	-5	9164	50	0	0
LOC126860391	0	-5	9164	50	0	0
LOC126860392	0	-5	9164	50	0	0
LOC126860393	0	-5	9164	50	0	0
LOC126860394	0	-5	9164	50	0	0
LOC126860395	0	-5	9164	50	0	0
LOC126860396	0	-5	9164	50	0	0
LOC126860397	0	-5	9164	50	0	0
LOC126860398	0	-5	9164	50	0	0
LOC126860399	0	-5	9164	50	0	0
LOC126860400	0	-5	9164	50	0	0
LOC126860401	0	-5	9164	50	0	0
LOC126860402	0	-5	9164	50	0	0
LOC126860403	0	-5	9164	50	0	0
LOC126860404	0	-5	9164	50	0	0
LOC126860405	0	-5	9164	50	0	0
LOC126860406	0	-5	9164	50	0	0
LOC126860407	0	-5	9164	50	0	0
LOC126860408	0	-5	9164	50	0	0
LOC126860409	0	-5	9164	50	0	0
LOC126860410	0	-5	9164	50	0	0
LOC126860411	0	-5	9164	50	0	0
LOC126860412	0	-5	9164	50	0	0
LOC126860413	0	-5	9164	50	0	0
LOC126860414	0	-5	9164	50	0	0
LOC126860415	0	-5	9164	50	0	0
LOC126860416	0	-5	9164	50	0	0
LOC126860417	0	-5	9164	50	0	0
LOC126860418	0	-5	9164	50	0	0
LOC126860419	0	-5	9164	50	0	0
LOC126860420	0	-5	9164	50	0	0
LOC126860421	0	-5	9164	50	0	0
LOC126860422	0	-5	9164	50	0	0
LOC126860423	0	-5	9164	50	0	0
LOC126860424	0	-5	9164	50	0	0
LOC126860425	0	-5	9164	50	0	0
LOC126860426	0	-5	9164	50	0	0
LOC126860427	0	-5	9164	50	0	0
LOC126860428	0	-5	9164	50	0	0
LOC126860429	0	-5	9164	50	0	0
LOC126860430	0	-5	9164	50	0	0
LOC126860431	0	-5	9164	50	0	0
LOC126860432	0	-5	9164	50	0	0
LOC126860433	0	-5	9164	50	0	0
LOC126860434	0	-5	9164	50	0	0
LOC126860435	0	-5	9164	50	0	0
LOC126860436	0	-5	9164	50	0	0
LOC126860437	0	-5	9164	50	0	0
LOC126860438	0	-5	9164	50	0	0
LOC126860439	0	-5	9164	50	0	0
LOC126860440	0	-5	9164	50	0	0
LOC126860441	0	-5	9164	50	0	0
LOC126860442	0	-5	9164	50	0	0
LOC126860443	0	-5	9164	50	0	0
LOC126860444	0	-5	9164	50	0	0
LOC126860445	0	-5	9164	50	0	0
LOC126860446	0	-5	9164	50	0	0
LOC126860447	0	-5	9164	50	0	0
LOC126860448	0	-5	9164	50	0	0
LOC126860449	0	-5	9164	50	0	0
LOC126860450	0	-5	9164	50	0	0
LOC126860451	0	-5	9164	50	0	0
LOC126860452	0	-5	9164	50	0	0
LOC126860453	0	-5	9164	50	0	0
LOC126860454	0	-5	9164	50	0	0
LOC126860455	0	-5	9164	50	0	0
LOC126860456	0	-5	9164	50	0	0
LOC126860457	0	-5	9164	50	0	0
LOC126860458	0	-5	9164	50	0	0
LOC126860459	0	-5	9164	50	0	0
LOC126860460	0	-5	9164	50	0	0
LOC126860461	0	-5	9164	50	0	0
LOC126860462	0	-5	9164	50	0	0
LOC126860463	0	-5	9164	50	0	0
LOC126860464	0	-5	9164	50	0	0
LOC126860465	0	-5	9164	50	0	0
LOC126860466	0	-5	9164	50	0	0
LOC126860467	0	-5	9164	50	0	0
LOC126860468	0	-5	9164	50	0	0
LOC126860469	0	-5	9164	50	0	0
LOC126860470	0	-5	9164	50	0	0
LOC126860471	0	-5	9164	50	0	0
LOC126860472	0	-5	9164	50	0	0
LOC126860473	0	-5	9164	50	0	0
LOC126860474	0	-5	9164	50	0	0
LOC126860475	0	-5	9164	50	0	0
LOC126860476	0	-5	9164	50	0	0
LOC126860477	0	-5	9164	50	0	0
LOC126860478	0	-5	9164	50	0	0
LOC126860479	0	-5	9164	50	0	0
LOC126860480	0	-5	9164	50	0	0
LOC126860481	0	-5	9164	50	0	0
LOC126860482	0	-5	9164	50	0	0
LOC126860483	0	-5	9164	50	0	0
LOC126860484	0	-5	9164	50	0	0
LOC126860485	0	-5	9164	50	0	0
LOC126860486	0	-5	9164	50	0	0
LOC126860487	0	-5	9164	50	0	0
LOC126860488	0	-5	9164	50	0	0
LOC126860489	0	-5	9164	50	0	0
LOC126860490	0	-5	9164	50	0	0
LOC126860491	0	-5	9164	50	0	0
LOC126860492	0	-5	9164	50	0	0
LOC126860493	0	-5	9164	50	0	0
LOC126860494	0	-5	9164	50	0	0
LOC126860495	0	-5	9164	50	0	0
LOC126860496	0	-5	9164	50	0	0
LOC126860497	0	-5	9164	50	0	0
LOC126860498	0	-5	9164	50	0	0
LOC126860499	0	-5	9164	50	0	0
LOC126860500	0	-5	9164	50	0	0
LOC126860501	0	-5	9164	50	0	0
LOC126860502	0	-5	9164	50	0	0
LOC126860503	0	-5	9164	50	0	0
LOC126860504	0	-5	9164	50	0	0
LOC126860505	0	-5	9164	50	0	0
LOC126860506	0	-5	9164	50	0	0
LOC126860507	0	-5	9164	50	0	0
LOC126860508	0	-5	9164	50	0	0
LOC126860509	0	-5	9164	50	0	0
LOC126860510	0	-5	9164	50	0	0
LOC126860511	0	-5	9164	50	0	0
LOC126860512	0	-5	9164	50	0	0
LOC126860513	0	-5	9164	50	0	0
LOC126860514	0	-5	9164	50	0	0
LOC126860515	0	-5	9164	50	0	0
LOC126860516	0	-5	9164	50	0	0
LOC126860517	0	-5	9164	50	0	0
LOC126860518	0	-5	9164	50	0	0
LOC126860519	0	-5	9164	50	0	0
LOC126860520	0	-5	9164	50	0	0
LOC126860521	0	-5	9164	50	0	0
LOC126860522	0	-5	9164	50	0	0
LOC126860523	0	-5	9164	50	0	0
LOC126860524	0	-5	9164	50	0	0
LOC126860525	0	-5	9164	50	0	0
LOC126860526	0	-5	9164	50	0	0
LOC126860527	0	-5	9164	50	0	0
LOC126860528	0	-5	9164	50	0	0
LOC126860529	0	-5	9164	50	0	0
LOC126860530	0	-5	9164	50	0	0
LOC126860531	0	-5	9164	50	0	0
LOC126860532	0	-5	9164	50	0	0
LOC126860533	0	-5	9164	50	0	0
LOC126860534	0	-5	9164	50	0	0
LOC126860535	0	-5	9164	50	0	0
LOC126860536	0	-5	9164	50	0	0
LOC126860537	0	-5	9164	50	0	0
LOC126860538	0	-5	9164	50	0	0
LOC126860539	0	-5	9164	50	0	0
LOC126860540	0	-5	9164	50	0	0
LOC126860541	0	-5	9164	50	0	0
LOC126860542	0	-5	9164	50	0	0
LOC126860543	0	-5	9164	50	0	0
LOC126860544	0	-5	9164	50	0	0
LOC126860545	0	-5	9164	50	0	0
LOC126860546	0	-5	9164	50	0	0
LOC126860547	0	-5	9164	50	0	0
LOC126860548	0	-5	9164	50	0	0
LOC126860549	0	-5	9164	50	0	0
LOC126860550	0	-5	9164	50	0	0
LOC126860551	0	-5	9164	50	0	0
LOC126860552	0	-5	9164	50	0	0
LOC126860553	0	-5	9164	50	0	0
LOC126860554	0	-5	9164	50	0	0
LOC126860555	0	-5	9164	50	0	0
LOC126860556	0	-5	9164	50	0	0
LOC126860557	0	-5	9164	50	0	0
LOC126860558	0	-5	9164	50	0	0
LOC126860559	0	-5	9164	50	0	0
LOC126860560	0	-5	9164	50	0	0
LOC126860561	0	-5	9164	50	0	0
LOC126860562	0	-5	9164	50	0	0
LOC126860563	0	-5	9164	50	0	0
LOC126860564	0	-5	9164	50	0	0
LOC126860565	0	-5	9164	50	0	0
LOC126860566	0	-5	9164	50	0	0
LOC126860567	0	-5	9164	50	0	0
LOC126860568	0	-5	9164	50	0	0
LOC126860569	0	-5	9164	50	0	0
LOC126860570	0	-5	9164	50	0	0
LOC126860571	0	-5	9164	50	0	0
LOC126860572	0	-5	9164	50	0	0
LOC126860573	0	-5	9164	50	0	0
LOC126860574	0	-5	9164	50	0	0
LOC126860575	0	-5	9164	50	0	0
LOC126860576	0	-5	9164	50	0	0
LOC126860577	0	-5	9164	50	0	0
LOC126860578	0	-5	9164	50	0	0
LOC126860579	0	-5	9164	50	0	0
LOC126860580	0	-5	9164	50	0	0
LOC126860581	0	-5	9164	50	0	0
LOC126860582	0	-5	9164	50	0	0
LOC126860583	0	-5	9164	50	0	0
LOC126860584	0	-5	9164	50	0	0
LOC126860585	0	-5	9164	50	0	0
LOC126860586	0	-5	9164	50	0	0
LOC126860587	0	-5	9164	50	0	0
LOC126860588	0	-5	9164	50	0	0
LOC126860589	0	-5	9164	50	0	0
LOC126860590	0	-5	9164	50	0	0
LOC126860591	0	-5	9164	50	0	0
LOC126860592	0	-5	9164	50	0	0
LOC126860593	0	-5	9164	50	0	0
LOC126860594	0	-5	9164	50	0	0
LOC126860595	0	-5	9164	50	0	0
LOC126860596	0	-5	9164	50	0	0
LOC126860597	0	-5	9164	50	0	0
LOC126860598	0	-5	9164	50	0	0
LOC126860599	0	-5	9164	50	0	0
LOC126860600	0	-5	9164	50	0	0
LOC126860601	0	-5	9164	50	0	0
LOC126860602	0	-5	9164	50	0	0
LOC126860603	0	-5	9164	50	0	0
LOC126860604	0	-5	9164	50	0	0
LOC126860605	0	-5	9164	50	0	0
LOC126860606	0	-5	9164	50	0	0
LOC126860607	0	-5	9164	50	0	0
LOC126860608	0	-5	9164	50	0	0
LOC126860609	0	-5	9164	50	0	0
LOC126860610	0	-5	9164	50	0	0
LOC126860611	0	-5	9164	50	0	0
LOC126860612	0	-5	9164	50	0	0
LOC126860613	0	-5	9164	50	0	0
LOC126860614	0	-5	9164	50	0	0
LOC126860615	0	-5	9164	50	0	0
LOC126860616	0	-5	9164	50	0	0
LOC126860617	0	-5	9164	50	0	0
LOC126860618	0	-5	9164	50	0	0
LOC126860619	0	-5	9164	50	0	0
LOC126860620	0	-5	9164	50	0	0
LOC126860621	0	-5	9164	50	0	0
LOC126860622	0	-5	9164	50	0	0
LOC126860623	0	-5	9164	50	0	0
LOC126860624	0	-5	9164	50	0	0
LOC126860625	0	-5	9164	50	0	0
LOC126860626	0	-5	9164	50	0	0
LOC126860627	0	-5	9164	50	0	0
LOC126860628	0	-5	9164	50	0	0
LOC126860629	0	-5	9164	50	0	0
LOC126860630	0	-5	9164	50	0	0
LOC126860631	0	-5	9164	50	0	0
LOC126860632	0	-5	9164	50	0	0
LOC126860633	0	-5	9164	50	0	0
LOC126860634	0	-5	9164	50	0	0
LOC126860635	0	-5	9164	50	0	0
LOC126860636	0	-5	9164	50	0	0
LOC126860637	0	-5	9164	50	0	0
LOC126860638	0	-5	9164	50	0	0
LOC126860639	0	-5	9164	50	0	0
LOC126860640	0	-5	9164	50	0	0
LOC126860641	0	-5	9164	50	0	0
LOC126860642	0	-5	9164	50	0	0
LOC126860643	0	-5	9164	50	0	0
LOC126860644	0	-5	9164	50	0	0
LOC126860645	0	-5	9164	50	0	0
LOC126860646	0	-5	9164	50	0	0
LOC126860647	0	-5	9164	50	0	0
LOC126860648	0	-5	9164	50	0	0
LOC126860649	0	-5	9164	50	0	0
LOC126860650	0	-5	9164	50	0	0
LOC126860651	0	-5	9164	50	0	0
LOC126860652	0	-5	9164	50	0	0
LOC126860653	0	-5	9164	50	0	0
LOC126860654	0	-5	9164	50	0	0
LOC126860655	0	-5	9164	50	0	0
LOC126860656	0	-5	9164	50	0	0
LOC126860657	0	-5	9164	50	0	0
LOC126860658	0	-5	9164	50	0	0
LOC126860659	0	-5	9164	50	0	0
LOC126860660	0	-5	9164	50	0	0
LOC126860661	0	-5	9164	50	0	0
LOC126860662	0	-5	9164	50	0	0
LOC126860663	0	-5	9164	50	0	0
LOC126860664	0	-5	9164	50	0	0
LOC126860665	0	-5	9164	50	0	0
LOC126860666	0	-5	9164	50	0	0
LOC126860667	0	-5	9164	50	0	0
LOC126860668	0	-5	9164	50	0	0
LOC126860669	0	-5	9164	50	0	0
LOC126860670	0	-5	9164	50	0	0
LOC126860671	0	-5	9164	50	0	0
LOC126860672	0	-5	9164	50	0	0
LOC126860674	0	-5	9164	50	0	0
LOC126860675	0	-5	9164	50	0	0
LOC126860676	0	-5	9164	50	0	0
LOC126860677	0	-5	9164	50	0	0
LOC126860678	0	-5	9164	50	0	0
LOC126860679	0	-5	9164	50	0	0
LOC126860680	0	-5	9164	50	0	0
LOC126860681	0	-5	9164	50	0	0
LOC126860682	0	-5	9164	50	0	0
LOC126860683	0	-5	9164	50	0	0
LOC126860684	0	-5	9164	50	0	0
LOC126860685	0	-5	9164	50	0	0
LOC126860686	0	-5	9164	50	0	0
LOC126860687	0	-5	9164	50	0	0
LOC126860688	0	-5	9164	50	0	0
LOC126860689	0	-5	9164	50	0	0
LOC126860690	0	-5	9164	50	0	0
LOC126860691	0	-5	9164	50	0	0
LOC126860692	0	-5	9164	50	0	0
LOC126860693	0	-5	9164	50	0	0
LOC126860694	0	-5	9164	50	0	0
LOC126860695	0	-5	9164	50	0	0
LOC126860696	0	-5	9164	50	0	0
LOC126860697	0	-5	9164	50	0	0
LOC126860698	0	-5	9164	50	0	0
LOC126860699	0	-5	9164	50	0	0
LOC126860700	0	-5	9164	50	0	0
LOC126860701	0	-5	9164	50	0	0
LOC126860702	0	-5	9164	50	0	0
LOC126860703	0	-5	9164	50	0	0
LOC126860704	0	-5	9164	50	0	0
LOC126860705	0	-5	9164	50	0	0
LOC126860706	0	-5	9164	50	0	0
LOC126860707	0	-5	9164	50	0	0
LOC126860708	0	-5	9164	50	0	0
LOC126860709	0	-5	9164	50	0	0
LOC126860710	0	-5	9164	50	0	0
LOC126860711	0	-5	9164	50	0	0
LOC126860712	0	-5	9164	50	0	0
LOC126860713	0	-5	9164	50	0	0
LOC126860714	0	-5	9164	50	0	0
LOC126860715	0	-5	9164	50	0	0
LOC126860716	0	-5	9164	50	0	0
LOC126860717	0	-5	9164	50	0	0
LOC126860718	0	-5	9164	50	0	0
LOC126860719	0	-5	9164	50	0	0
LOC126860720	0	-5	9164	50	0	0
LOC126860721	0	-5	9164	50	0	0
LOC126860722	0	-5	9164	50	0	0
LOC126860723	0	-5	9164	50	0	0
LOC126860724	0	-5	9164	50	0	0
LOC126860725	0	-5	9164	50	0	0
LOC126860726	0	-5	9164	50	0	0
LOC126860727	0	-5	9164	50	0	0
LOC126860728	0	-5	9164	50	0	0
LOC126860729	0	-5	9164	50	0	0
LOC126860730	0	-5	9164	50	0	0
LOC126860731	0	-5	9164	50	0	0
LOC126860732	0	-5	9164	50	0	0
LOC126860733	0	-5	9164	50	0	0
LOC126860734	0	-5	9164	50	0	0
LOC126860735	0	-5	9164	50	0	0
LOC126860736	0	-5	9164	50	0	0
LOC126860737	0	-5	9164	50	0	0
LOC126860738	0	-5	9164	50	0	0
LOC126860739	0	-5	9164	50	0	0
LOC126860740	0	-5	9164	50	0	0
LOC126860741	0	-5	9164	50	0	0
LOC126860742	0	-5	9164	50	0	0
LOC126860743	0	-5	9164	50	0	0
LOC126860744	0	-5	9164	50	0	0
LOC126860745	0	-5	9164	50	0	0
LOC126860746	0	-5	9164	50	0	0
LOC126860747	0	-5	9164	50	0	0
LOC126860748	0	-5	9164	50	0	0
LOC126860749	0	-5	9164	50	0	0
LOC126860750	0	-5	9164	50	0	0
LOC126860751	0	-5	9164	50	0	0
LOC126860752	0	-5	9164	50	0	0
LOC126860753	0	-5	9164	50	0	0
LOC126860754	0	-5	9164	50	0	0
LOC126860755	0	-5	9164	50	0	0
LOC126860756	0	-5	9164	50	0	0
LOC126860757	0	-5	9164	50	0	0
LOC126860758	0	-5	9164	50	0	0
LOC126860759	0	-5	9164	50	0	0
LOC126860760	0	-5	9164	50	0	0
LOC126860761	0	-5	9164	50	0	0
LOC126860762	0	-5	9164	50	0	0
LOC126860763	0	-5	9164	50	0	0
LOC126860764	0	-5	9164	50	0	0
LOC126860765	0	-5	9164	50	0	0
LOC126860766	0	-5	9164	50	0	0
LOC126860767	0	-5	9164	50	0	0
LOC126860768	0	-5	9164	50	0	0
LOC126860769	0	-5	9164	50	0	0
LOC126860770	0	-5	9164	50	0	0
LOC126860771	0	-5	9164	50	0	0
LOC126860772	0	-5	9164	50	0	0
LOC126860773	0	-5	9164	50	0	0
LOC126860774	0	-5	9164	50	0	0
LOC126860775	0	-5	9164	50	0	0
LOC126860776	0	-5	9164	50	0	0
LOC126860777	0	-5	9164	50	0	0
LOC126860778	0	-5	9164	50	0	0
LOC126860779	0	-5	9164	50	0	0
LOC126860780	0	-5	9164	50	0	0
LOC126860781	0	-5	9164	50	0	0
LOC126860782	0	-5	9164	50	0	0
LOC126860783	0	-5	9164	50	0	0
LOC126860784	0	-5	9164	50	0	0
LOC126860785	0	-5	9164	50	0	0
LOC126860786	0	-5	9164	50	0	0
LOC126860787	0	-5	9164	50	0	0
LOC126860788	0	-5	9164	50	0	0
LOC126860789	0	-5	9164	50	0	0
LOC126860790	0	-5	9164	50	0	0
LOC126860791	0	-5	9164	50	0	0
LOC126860792	0	-5	9164	50	0	0
LOC126860793	0	-5	9164	50	0	0
LOC126860794	0	-5	9164	50	0	0
LOC126860795	0	-5	9164	50	0	0
LOC126860796	0	-5	9164	50	0	0
LOC126860797	0	-5	9164	50	0	0
LOC126860798	0	-5	9164	50	0	0
LOC126860799	0	-5	9164	50	0	0
LOC126860800	0	-5	9164	50	0	0
LOC126860801	0	-5	9164	50	0	0
