## cite_days=180
# gene	cites	cite_delta	cite_rank	cite_rank_delta	views	view_delta	view_rank	view_rank_delta
LOC126861349	0	-5	9055	126	0	0
LOC126861350	0	-5	9055	126	0	0
LOC126861351	0	-5	9055	126	0	0
LOC126861352	0	-5	9055	126	0	0
LOC126861353	0	-5	9055	126	0	0
LOC126861354	0	-5	9055	126	0	0
LOC126861355	0	-5	9055	126	0	0
LOC126861356	0	-5	9055	126	0	0
LOC126861357	0	-5	9055	126	0	0
LOC126861358	0	-5	9055	126	0	0
LOC126861359	0	-5	9055	126	0	0
LOC126861360	0	-5	9055	126	0	0
LOC126861361	0	-5	9055	126	0	0
LOC126861362	0	-5	9055	126	0	0
LOC126861363	0	-5	9055	126	0	0
LOC126861364	0	-5	9055	126	0	0
LOC126861365	0	-5	9055	126	0	0
LOC126861366	0	-5	9055	126	0	0
LOC126861367	0	-5	9055	126	0	0
LOC126861368	0	-5	9055	126	0	0
LOC126861369	0	-5	9055	126	0	0
LOC126861370	0	-5	9055	126	0	0
LOC126861371	0	-5	9055	126	0	0
LOC126861372	0	-5	9055	126	0	0
LOC126861373	0	-5	9055	126	0	0
LOC126861374	0	-5	9055	126	0	0
LOC126861375	0	-5	9055	126	0	0
LOC126861376	0	-5	9055	126	0	0
LOC126861377	0	-5	9055	126	0	0
LOC126861378	0	-5	9055	126	0	0
LOC126861379	0	-5	9055	126	0	0
LOC126861380	0	-5	9055	126	0	0
LOC126861381	0	-5	9055	126	0	0
LOC126861382	0	-5	9055	126	0	0
LOC126861383	0	-5	9055	126	0	0
LOC126861384	0	-5	9055	126	0	0
LOC126861385	0	-5	9055	126	0	0
LOC126861386	0	-5	9055	126	0	0
LOC126861387	0	-5	9055	126	0	0
LOC126861388	0	-5	9055	126	0	0
LOC126861389	0	-5	9055	126	0	0
LOC126861390	0	-5	9055	126	0	0
LOC126861391	0	-5	9055	126	0	0
LOC126861392	0	-5	9055	126	0	0
LOC126861393	0	-5	9055	126	0	0
LOC126861394	0	-5	9055	126	0	0
LOC126861395	0	-5	9055	126	0	0
LOC126861396	0	-5	9055	126	0	0
LOC126861397	0	-5	9055	126	0	0
LOC126861398	0	-5	9055	126	0	0
LOC126861399	0	-5	9055	126	0	0
LOC126861400	0	-5	9055	126	0	0
LOC126861401	0	-5	9055	126	0	0
LOC126861402	0	-5	9055	126	0	0
LOC126861403	0	-5	9055	126	0	0
LOC126861404	0	-5	9055	126	0	0
LOC126861405	0	-5	9055	126	0	0
LOC126861406	0	-5	9055	126	0	0
LOC126861407	0	-5	9055	126	0	0
LOC126861408	0	-5	9055	126	0	0
LOC126861409	0	-5	9055	126	0	0
LOC126861410	0	-5	9055	126	0	0
LOC126861411	0	-5	9055	126	0	0
LOC126861412	0	-5	9055	126	0	0
LOC126861413	0	-5	9055	126	0	0
LOC126861414	0	-5	9055	126	0	0
LOC126861415	0	-5	9055	126	0	0
LOC126861416	0	-5	9055	126	0	0
LOC126861417	0	-5	9055	126	0	0
LOC126861418	0	-5	9055	126	0	0
LOC126861419	0	-5	9055	126	0	0
LOC126861420	0	-5	9055	126	0	0
LOC126861421	0	-5	9055	126	0	0
LOC126861422	0	-5	9055	126	0	0
LOC126861423	0	-5	9055	126	0	0
LOC126861424	0	-5	9055	126	0	0
LOC126861425	0	-5	9055	126	0	0
LOC126861426	0	-5	9055	126	0	0
LOC126861427	0	-5	9055	126	0	0
LOC126861428	0	-5	9055	126	0	0
LOC126861429	0	-5	9055	126	0	0
LOC126861430	0	-5	9055	126	0	0
LOC126861431	0	-5	9055	126	0	0
LOC126861432	0	-5	9055	126	0	0
LOC126861433	0	-5	9055	126	0	0
LOC126861434	0	-5	9055	126	0	0
LOC126861435	0	-5	9055	126	0	0
LOC126861436	0	-5	9055	126	0	0
LOC126861437	0	-5	9055	126	0	0
LOC126861438	0	-5	9055	126	0	0
LOC126861439	0	-5	9055	126	0	0
LOC126861440	0	-5	9055	126	0	0
LOC126861441	0	-5	9055	126	0	0
LOC126861442	0	-5	9055	126	0	0
LOC126861443	0	-5	9055	126	0	0
LOC126861444	0	-5	9055	126	0	0
LOC126861445	0	-5	9055	126	0	0
LOC126861446	0	-5	9055	126	0	0
LOC126861447	0	-5	9055	126	0	0
LOC126861448	0	-5	9055	126	0	0
LOC126861449	0	-5	9055	126	0	0
LOC126861450	0	-5	9055	126	0	0
LOC126861451	0	-5	9055	126	0	0
LOC126861452	0	-5	9055	126	0	0
LOC126861453	0	-5	9055	126	0	0
LOC126861454	0	-5	9055	126	0	0
LOC126861455	0	-5	9055	126	0	0
LOC126861456	0	-5	9055	126	0	0
LOC126861457	0	-5	9055	126	0	0
LOC126861458	0	-5	9055	126	0	0
LOC126861459	0	-5	9055	126	0	0
LOC126861460	0	-5	9055	126	0	0
LOC126861461	0	-5	9055	126	0	0
LOC126861462	0	-5	9055	126	0	0
LOC126861463	0	-5	9055	126	0	0
LOC126861464	0	-5	9055	126	0	0
LOC126861465	0	-5	9055	126	0	0
LOC126861466	0	-5	9055	126	0	0
LOC126861467	0	-5	9055	126	0	0
LOC126861468	0	-5	9055	126	0	0
LOC126861469	0	-5	9055	126	0	0
LOC126861470	0	-5	9055	126	0	0
LOC126861471	0	-5	9055	126	0	0
LOC126861472	0	-5	9055	126	0	0
LOC126861473	0	-5	9055	126	0	0
LOC126861474	0	-5	9055	126	0	0
LOC126861475	0	-5	9055	126	0	0
LOC126861476	0	-5	9055	126	0	0
LOC126861477	0	-5	9055	126	0	0
LOC126861478	0	-5	9055	126	0	0
LOC126861479	0	-5	9055	126	0	0
LOC126861480	0	-5	9055	126	0	0
LOC126861481	0	-5	9055	126	0	0
LOC126861482	0	-5	9055	126	0	0
LOC126861483	0	-5	9055	126	0	0
LOC126861484	0	-5	9055	126	0	0
LOC126861485	0	-5	9055	126	0	0
LOC126861486	0	-5	9055	126	0	0
LOC126861487	0	-5	9055	126	0	0
LOC126861488	0	-5	9055	126	0	0
LOC126861489	0	-5	9055	126	0	0
LOC126861490	0	-5	9055	126	0	0
LOC126861491	0	-5	9055	126	0	0
LOC126861492	0	-5	9055	126	0	0
LOC126861493	0	-5	9055	126	0	0
LOC126861494	0	-5	9055	126	0	0
LOC126861495	0	-5	9055	126	0	0
LOC126861496	0	-5	9055	126	0	0
LOC126861497	0	-5	9055	126	0	0
LOC126861498	0	-5	9055	126	0	0
LOC126861499	0	-5	9055	126	0	0
LOC126861500	0	-5	9055	126	0	0
LOC126861501	0	-5	9055	126	0	0
LOC126861502	0	-5	9055	126	0	0
LOC126861503	0	-5	9055	126	0	0
LOC126861504	0	-5	9055	126	0	0
LOC126861505	0	-5	9055	126	0	0
LOC126861506	0	-5	9055	126	0	0
LOC126861507	0	-5	9055	126	0	0
LOC126861508	0	-5	9055	126	0	0
LOC126861509	0	-5	9055	126	0	0
LOC126861510	0	-5	9055	126	0	0
LOC126861511	0	-5	9055	126	0	0
LOC126861512	0	-5	9055	126	0	0
LOC126861513	0	-5	9055	126	0	0
LOC126861514	0	-5	9055	126	0	0
LOC126861515	0	-5	9055	126	0	0
LOC126861516	0	-5	9055	126	0	0
LOC126861517	0	-5	9055	126	0	0
LOC126861518	0	-5	9055	126	0	0
LOC126861519	0	-5	9055	126	0	0
LOC126861520	0	-5	9055	126	0	0
LOC126861521	0	-5	9055	126	0	0
LOC126861522	0	-5	9055	126	0	0
LOC126861523	0	-5	9055	126	0	0
LOC126861524	0	-5	9055	126	0	0
LOC126861525	0	-5	9055	126	0	0
LOC126861526	0	-5	9055	126	0	0
LOC126861527	0	-5	9055	126	0	0
LOC126861528	0	-5	9055	126	0	0
LOC126861529	0	-5	9055	126	0	0
LOC126861530	0	-5	9055	126	0	0
LOC126861531	0	-5	9055	126	0	0
LOC126861532	0	-5	9055	126	0	0
LOC126861533	0	-5	9055	126	0	0
LOC126861534	0	-5	9055	126	0	0
LOC126861535	0	-5	9055	126	0	0
LOC126861536	0	-5	9055	126	0	0
LOC126861537	0	-5	9055	126	0	0
LOC126861538	0	-5	9055	126	0	0
LOC126861539	0	-5	9055	126	0	0
LOC126861540	0	-5	9055	126	0	0
LOC126861541	0	-5	9055	126	0	0
LOC126861542	0	-5	9055	126	0	0
LOC126861543	0	-5	9055	126	0	0
LOC126861544	0	-5	9055	126	0	0
LOC126861545	0	-5	9055	126	0	0
LOC126861546	0	-5	9055	126	0	0
LOC126861547	0	-5	9055	126	0	0
LOC126861548	0	-5	9055	126	0	0
LOC126861549	0	-5	9055	126	0	0
LOC126861550	0	-5	9055	126	0	0
LOC126861551	0	-5	9055	126	0	0
LOC126861552	0	-5	9055	126	0	0
LOC126861553	0	-5	9055	126	0	0
LOC126861554	0	-5	9055	126	0	0
LOC126861555	0	-5	9055	126	0	0
LOC126861556	0	-5	9055	126	0	0
LOC126861557	0	-5	9055	126	0	0
LOC126861558	0	-5	9055	126	0	0
LOC126861559	0	-5	9055	126	0	0
LOC126861560	0	-5	9055	126	0	0
LOC126861561	0	-5	9055	126	0	0
LOC126861562	0	-5	9055	126	0	0
LOC126861563	0	-5	9055	126	0	0
LOC126861564	0	-5	9055	126	0	0
LOC126861565	0	-5	9055	126	0	0
LOC126861566	0	-5	9055	126	0	0
LOC126861567	0	-5	9055	126	0	0
LOC126861568	0	-5	9055	126	0	0
LOC126861569	0	-5	9055	126	0	0
LOC126861570	0	-5	9055	126	0	0
LOC126861571	0	-5	9055	126	0	0
LOC126861572	0	-5	9055	126	0	0
LOC126861573	0	-5	9055	126	0	0
LOC126861574	0	-5	9055	126	0	0
LOC126861575	0	-5	9055	126	0	0
LOC126861576	0	-5	9055	126	0	0
LOC126861577	0	-5	9055	126	0	0
LOC126861578	0	-5	9055	126	0	0
LOC126861579	0	-5	9055	126	0	0
LOC126861580	0	-5	9055	126	0	0
LOC126861581	0	-5	9055	126	0	0
LOC126861582	0	-5	9055	126	0	0
LOC126861583	0	-5	9055	126	0	0
LOC126861584	0	-5	9055	126	0	0
LOC126861585	0	-5	9055	126	0	0
LOC126861586	0	-5	9055	126	0	0
LOC126861587	0	-5	9055	126	0	0
LOC126861588	0	-5	9055	126	0	0
LOC126861589	0	-5	9055	126	0	0
LOC126861590	0	-5	9055	126	0	0
LOC126861591	0	-5	9055	126	0	0
LOC126861592	0	-5	9055	126	0	0
LOC126861593	0	-5	9055	126	0	0
LOC126861594	0	-5	9055	126	0	0
LOC126861595	0	-5	9055	126	0	0
LOC126861596	0	-5	9055	126	0	0
LOC126861597	0	-5	9055	126	0	0
LOC126861598	0	-5	9055	126	0	0
LOC126861599	0	-5	9055	126	0	0
LOC126861600	0	-5	9055	126	0	0
LOC126861601	0	-5	9055	126	0	0
LOC126861602	0	-5	9055	126	0	0
LOC126861603	0	-5	9055	126	0	0
LOC126861604	0	-5	9055	126	0	0
LOC126861605	0	-5	9055	126	0	0
LOC126861606	0	-5	9055	126	0	0
LOC126861607	0	-5	9055	126	0	0
LOC126861608	0	-5	9055	126	0	0
LOC126861609	0	-5	9055	126	0	0
LOC126861610	0	-5	9055	126	0	0
LOC126861611	0	-5	9055	126	0	0
LOC126861612	0	-5	9055	126	0	0
LOC126861613	0	-5	9055	126	0	0
LOC126861614	0	-5	9055	126	0	0
LOC126861615	0	-5	9055	126	0	0
LOC126861616	0	-5	9055	126	0	0
LOC126861617	0	-5	9055	126	0	0
LOC126861618	0	-5	9055	126	0	0
LOC126861619	0	-5	9055	126	0	0
LOC126861620	0	-5	9055	126	0	0
LOC126861621	0	-5	9055	126	0	0
LOC126861622	0	-5	9055	126	0	0
LOC126861623	0	-5	9055	126	0	0
LOC126861624	0	-5	9055	126	0	0
LOC126861625	0	-5	9055	126	0	0
LOC126861626	0	-5	9055	126	0	0
LOC126861627	0	-5	9055	126	0	0
LOC126861628	0	-5	9055	126	0	0
LOC126861629	0	-5	9055	126	0	0
LOC126861630	0	-5	9055	126	0	0
LOC126861631	0	-5	9055	126	0	0
LOC126861632	0	-5	9055	126	0	0
LOC126861633	0	-5	9055	126	0	0
LOC126861634	0	-5	9055	126	0	0
LOC126861635	0	-5	9055	126	0	0
LOC126861636	0	-5	9055	126	0	0
LOC126861637	0	-5	9055	126	0	0
LOC126861638	0	-5	9055	126	0	0
LOC126861639	0	-5	9055	126	0	0
LOC126861640	0	-5	9055	126	0	0
LOC126861641	0	-5	9055	126	0	0
LOC126861642	0	-5	9055	126	0	0
LOC126861643	0	-5	9055	126	0	0
LOC126861644	0	-5	9055	126	0	0
LOC126861645	0	-5	9055	126	0	0
LOC126861646	0	-5	9055	126	0	0
LOC126861647	0	-5	9055	126	0	0
LOC126861648	0	-5	9055	126	0	0
LOC126861649	0	-5	9055	126	0	0
LOC126861650	0	-5	9055	126	0	0
LOC126861651	0	-5	9055	126	0	0
LOC126861652	0	-5	9055	126	0	0
LOC126861653	0	-5	9055	126	0	0
LOC126861654	0	-5	9055	126	0	0
LOC126861655	0	-5	9055	126	0	0
LOC126861656	0	-5	9055	126	0	0
LOC126861657	0	-5	9055	126	0	0
LOC126861658	0	-5	9055	126	0	0
LOC126861659	0	-5	9055	126	0	0
LOC126861660	0	-5	9055	126	0	0
LOC126861661	0	-5	9055	126	0	0
LOC126861662	0	-5	9055	126	0	0
LOC126861663	0	-5	9055	126	0	0
LOC126861664	0	-5	9055	126	0	0
LOC126861665	0	-5	9055	126	0	0
LOC126861666	0	-5	9055	126	0	0
LOC126861667	0	-5	9055	126	0	0
LOC126861668	0	-5	9055	126	0	0
LOC126861669	0	-5	9055	126	0	0
LOC126861670	0	-5	9055	126	0	0
LOC126861671	0	-5	9055	126	0	0
LOC126861672	0	-5	9055	126	0	0
LOC126861673	0	-5	9055	126	0	0
LOC126861674	0	-5	9055	126	0	0
LOC126861675	0	-5	9055	126	0	0
LOC126861676	0	-5	9055	126	0	0
LOC126861677	0	-5	9055	126	0	0
LOC126861678	0	-5	9055	126	0	0
LOC126861679	0	-5	9055	126	0	0
LOC126861680	0	-5	9055	126	0	0
LOC126861681	0	-5	9055	126	0	0
LOC126861682	0	-5	9055	126	0	0
LOC126861683	0	-5	9055	126	0	0
LOC126861684	0	-5	9055	126	0	0
LOC126861685	0	-5	9055	126	0	0
LOC126861686	0	-5	9055	126	0	0
LOC126861687	0	-5	9055	126	0	0
LOC126861688	0	-5	9055	126	0	0
LOC126861689	0	-5	9055	126	0	0
LOC126861690	0	-5	9055	126	0	0
LOC126861691	0	-5	9055	126	0	0
LOC126861692	0	-5	9055	126	0	0
LOC126861693	0	-5	9055	126	0	0
LOC126861694	0	-5	9055	126	0	0
LOC126861695	0	-5	9055	126	0	0
LOC126861696	0	-5	9055	126	0	0
LOC126861697	0	-5	9055	126	0	0
LOC126861698	0	-5	9055	126	0	0
LOC126861699	0	-5	9055	126	0	0
LOC126861700	0	-5	9055	126	0	0
LOC126861701	0	-5	9055	126	0	0
LOC126861702	0	-5	9055	126	0	0
LOC126861703	0	-5	9055	126	0	0
LOC126861704	0	-5	9055	126	0	0
LOC126861705	0	-5	9055	126	0	0
LOC126861706	0	-5	9055	126	0	0
LOC126861707	0	-5	9055	126	0	0
LOC126861708	0	-5	9055	126	0	0
LOC126861709	0	-5	9055	126	0	0
LOC126861710	0	-5	9055	126	0	0
LOC126861711	0	-5	9055	126	0	0
LOC126861712	0	-5	9055	126	0	0
LOC126861713	0	-5	9055	126	0	0
LOC126861714	0	-5	9055	126	0	0
LOC126861715	0	-5	9055	126	0	0
LOC126861716	0	-5	9055	126	0	0
LOC126861717	0	-5	9055	126	0	0
LOC126861718	0	-5	9055	126	0	0
LOC126861719	0	-5	9055	126	0	0
LOC126861720	0	-5	9055	126	0	0
LOC126861721	0	-5	9055	126	0	0
LOC126861722	0	-5	9055	126	0	0
LOC126861723	0	-5	9055	126	0	0
LOC126861724	0	-5	9055	126	0	0
LOC126861725	0	-5	9055	126	0	0
LOC126861726	0	-5	9055	126	0	0
LOC126861727	0	-5	9055	126	0	0
LOC126861728	0	-5	9055	126	0	0
LOC126861729	0	-5	9055	126	0	0
LOC126861730	0	-5	9055	126	0	0
LOC126861731	0	-5	9055	126	0	0
LOC126861732	0	-5	9055	126	0	0
LOC126861733	0	-5	9055	126	0	0
LOC126861734	0	-5	9055	126	0	0
LOC126861735	0	-5	9055	126	0	0
LOC126861736	0	-5	9055	126	0	0
LOC126861737	0	-5	9055	126	0	0
LOC126861738	0	-5	9055	126	0	0
LOC126861739	0	-5	9055	126	0	0
LOC126861740	0	-5	9055	126	0	0
LOC126861741	0	-5	9055	126	0	0
LOC126861742	0	-5	9055	126	0	0
LOC126861743	0	-5	9055	126	0	0
LOC126861744	0	-5	9055	126	0	0
LOC126861745	0	-5	9055	126	0	0
LOC126861746	0	-5	9055	126	0	0
LOC126861747	0	-5	9055	126	0	0
LOC126861748	0	-5	9055	126	0	0
LOC126861749	0	-5	9055	126	0	0
LOC126861750	0	-5	9055	126	0	0
LOC126861751	0	-5	9055	126	0	0
LOC126861752	0	-5	9055	126	0	0
LOC126861753	0	-5	9055	126	0	0
LOC126861754	0	-5	9055	126	0	0
LOC126861755	0	-5	9055	126	0	0
LOC126861756	0	-5	9055	126	0	0
LOC126861757	0	-5	9055	126	0	0
LOC126861758	0	-5	9055	126	0	0
LOC126861759	0	-5	9055	126	0	0
LOC126861760	0	-5	9055	126	0	0
LOC126861761	0	-5	9055	126	0	0
LOC126861762	0	-5	9055	126	0	0
LOC126861763	0	-5	9055	126	0	0
LOC126861764	0	-5	9055	126	0	0
LOC126861765	0	-5	9055	126	0	0
LOC126861766	0	-5	9055	126	0	0
LOC126861767	0	-5	9055	126	0	0
LOC126861768	0	-5	9055	126	0	0
LOC126861769	0	-5	9055	126	0	0
LOC126861770	0	-5	9055	126	0	0
LOC126861771	0	-5	9055	126	0	0
LOC126861772	0	-5	9055	126	0	0
LOC126861773	0	-5	9055	126	0	0
LOC126861774	0	-5	9055	126	0	0
LOC126861775	0	-5	9055	126	0	0
LOC126861776	0	-5	9055	126	0	0
LOC126861777	0	-5	9055	126	0	0
LOC126861778	0	-5	9055	126	0	0
LOC126861779	0	-5	9055	126	0	0
LOC126861780	0	-5	9055	126	0	0
LOC126861781	0	-5	9055	126	0	0
LOC126861782	0	-5	9055	126	0	0
LOC126861783	0	-5	9055	126	0	0
LOC126861784	0	-5	9055	126	0	0
LOC126861785	0	-5	9055	126	0	0
LOC126861786	0	-5	9055	126	0	0
LOC126861787	0	-5	9055	126	0	0
LOC126861788	0	-5	9055	126	0	0
LOC126861789	0	-5	9055	126	0	0
LOC126861790	0	-5	9055	126	0	0
LOC126861791	0	-5	9055	126	0	0
LOC126861792	0	-5	9055	126	0	0
LOC126861793	0	-5	9055	126	0	0
LOC126861794	0	-5	9055	126	0	0
LOC126861795	0	-5	9055	126	0	0
LOC126861796	0	-5	9055	126	0	0
LOC126861797	0	-5	9055	126	0	0
LOC126861798	0	-5	9055	126	0	0
LOC126861799	0	-5	9055	126	0	0
LOC126861800	0	-5	9055	126	0	0
LOC126861801	0	-5	9055	126	0	0
LOC126861802	0	-5	9055	126	0	0
LOC126861803	0	-5	9055	126	0	0
LOC126861804	0	-5	9055	126	0	0
LOC126861805	0	-5	9055	126	0	0
LOC126861806	0	-5	9055	126	0	0
LOC126861807	0	-5	9055	126	0	0
LOC126861808	0	-5	9055	126	0	0
LOC126861809	0	-5	9055	126	0	0
LOC126861810	0	-5	9055	126	0	0
LOC126861811	0	-5	9055	126	0	0
LOC126861812	0	-5	9055	126	0	0
LOC126861813	0	-5	9055	126	0	0
LOC126861814	0	-5	9055	126	0	0
LOC126861815	0	-5	9055	126	0	0
LOC126861816	0	-5	9055	126	0	0
LOC126861817	0	-5	9055	126	0	0
LOC126861818	0	-5	9055	126	0	0
LOC126861819	0	-5	9055	126	0	0
LOC126861820	0	-5	9055	126	0	0
LOC126861821	0	-5	9055	126	0	0
LOC126861822	0	-5	9055	126	0	0
LOC126861823	0	-5	9055	126	0	0
LOC126861824	0	-5	9055	126	0	0
LOC126861825	0	-5	9055	126	0	0
LOC126861826	0	-5	9055	126	0	0
LOC126861827	0	-5	9055	126	0	0
LOC126861828	0	-5	9055	126	0	0
LOC126861829	0	-5	9055	126	0	0
LOC126861830	0	-5	9055	126	0	0
LOC126861831	0	-5	9055	126	0	0
LOC126861832	0	-5	9055	126	0	0
LOC126861833	0	-5	9055	126	0	0
LOC126861834	0	-5	9055	126	0	0
LOC126861835	0	-5	9055	126	0	0
LOC126861836	0	-5	9055	126	0	0
LOC126861837	0	-5	9055	126	0	0
LOC126861838	0	-5	9055	126	0	0
LOC126861839	0	-5	9055	126	0	0
LOC126861840	0	-5	9055	126	0	0
LOC126861841	0	-5	9055	126	0	0
LOC126861842	0	-5	9055	126	0	0
LOC126861843	0	-5	9055	126	0	0
LOC126861844	0	-5	9055	126	0	0
LOC126861845	0	-5	9055	126	0	0
LOC126861846	0	-5	9055	126	0	0
LOC126861847	0	-5	9055	126	0	0
LOC126861848	0	-5	9055	126	0	0
LOC126861849	0	-5	9055	126	0	0
LOC126861850	0	-5	9055	126	0	0
LOC126861851	0	-5	9055	126	0	0
LOC126861852	0	-5	9055	126	0	0
LOC126861853	0	-5	9055	126	0	0
LOC126861854	0	-5	9055	126	0	0
LOC126861855	0	-5	9055	126	0	0
LOC126861856	0	-5	9055	126	0	0
LOC126861857	0	-5	9055	126	0	0
LOC126861858	0	-5	9055	126	0	0
LOC126861859	0	-5	9055	126	0	0
LOC126861860	0	-5	9055	126	0	0
LOC126861861	0	-5	9055	126	0	0
LOC126861862	0	-5	9055	126	0	0
LOC126861863	0	-5	9055	126	0	0
LOC126861864	0	-5	9055	126	0	0
LOC126861865	0	-5	9055	126	0	0
LOC126861866	0	-5	9055	126	0	0
LOC126861867	0	-5	9055	126	0	0
LOC126861868	0	-5	9055	126	0	0
LOC126861869	0	-5	9055	126	0	0
LOC126861870	0	-5	9055	126	0	0
LOC126861871	0	-5	9055	126	0	0
LOC126861872	0	-5	9055	126	0	0
LOC126861873	0	-5	9055	126	0	0
LOC126861874	0	-5	9055	126	0	0
LOC126861875	0	-5	9055	126	0	0
LOC126861876	0	-5	9055	126	0	0
LOC126861877	0	-5	9055	126	0	0
LOC126861878	0	-5	9055	126	0	0
LOC126861879	0	-5	9055	126	0	0
LOC126861880	0	-5	9055	126	0	0
LOC126861881	0	-5	9055	126	0	0
LOC126861882	0	-5	9055	126	0	0
LOC126861883	0	-5	9055	126	0	0
LOC126861884	0	-5	9055	126	0	0
LOC126861885	0	-5	9055	126	0	0
LOC126861886	0	-5	9055	126	0	0
LOC126861887	0	-5	9055	126	0	0
LOC126861888	0	-5	9055	126	0	0
LOC126861889	0	-5	9055	126	0	0
LOC126861890	0	-5	9055	126	0	0
LOC126861891	0	-5	9055	126	0	0
LOC126861892	0	-5	9055	126	0	0
LOC126861893	0	-5	9055	126	0	0
LOC126861894	0	-5	9055	126	0	0
LOC126861895	0	-5	9055	126	0	0
LOC126861896	0	-5	9055	126	0	0
LOC126861897	0	-5	9055	126	0	0
LOC126861898	0	-5	9055	126	0	0
LOC126861899	0	-5	9055	126	0	0
LOC126861900	0	-5	9055	126	0	0
LOC126861901	0	-5	9055	126	0	0
LOC126861902	0	-5	9055	126	0	0
LOC126861903	0	-5	9055	126	0	0
LOC126861904	0	-5	9055	126	0	0
LOC126861905	0	-5	9055	126	0	0
LOC126861906	0	-5	9055	126	0	0
LOC126861907	0	-5	9055	126	0	0
LOC126861908	0	-5	9055	126	0	0
LOC126861909	0	-5	9055	126	0	0
LOC126861910	0	-5	9055	126	0	0
LOC126861911	0	-5	9055	126	0	0
LOC126861912	0	-5	9055	126	0	0
LOC126861913	0	-5	9055	126	0	0
LOC126861914	0	-5	9055	126	0	0
LOC126861915	0	-5	9055	126	0	0
LOC126861916	0	-5	9055	126	0	0
LOC126861917	0	-5	9055	126	0	0
LOC126861918	0	-5	9055	126	0	0
LOC126861919	0	-5	9055	126	0	0
LOC126861920	0	-5	9055	126	0	0
LOC126861921	0	-5	9055	126	0	0
LOC126861922	0	-5	9055	126	0	0
LOC126861923	0	-5	9055	126	0	0
LOC126861924	0	-5	9055	126	0	0
LOC126861925	0	-5	9055	126	0	0
LOC126861926	0	-5	9055	126	0	0
LOC126861927	0	-5	9055	126	0	0
LOC126861928	0	-5	9055	126	0	0
LOC126861929	0	-5	9055	126	0	0
LOC126861930	0	-5	9055	126	0	0
LOC126861931	0	-5	9055	126	0	0
LOC126861932	0	-5	9055	126	0	0
LOC126861933	0	-5	9055	126	0	0
LOC126861934	0	-5	9055	126	0	0
LOC126861935	0	-5	9055	126	0	0
LOC126861936	0	-5	9055	126	0	0
LOC126861937	0	-5	9055	126	0	0
LOC126861938	0	-5	9055	126	0	0
LOC126861939	0	-5	9055	126	0	0
LOC126861940	0	-5	9055	126	0	0
LOC126861941	0	-5	9055	126	0	0
LOC126861942	0	-5	9055	126	0	0
LOC126861943	0	-5	9055	126	0	0
LOC126861944	0	-5	9055	126	0	0
LOC126861945	0	-5	9055	126	0	0
LOC126861946	0	-5	9055	126	0	0
LOC126861947	0	-5	9055	126	0	0
LOC126861948	0	-5	9055	126	0	0
LOC126861949	0	-5	9055	126	0	0
LOC126861950	0	-5	9055	126	0	0
LOC126861951	0	-5	9055	126	0	0
LOC126861952	0	-5	9055	126	0	0
LOC126861953	0	-5	9055	126	0	0
LOC126861954	0	-5	9055	126	0	0
LOC126861955	0	-5	9055	126	0	0
LOC126861956	0	-5	9055	126	0	0
LOC126861957	0	-5	9055	126	0	0
LOC126861958	0	-5	9055	126	0	0
LOC126861959	0	-5	9055	126	0	0
LOC126861960	0	-5	9055	126	0	0
LOC126861961	0	-5	9055	126	0	0
LOC126861962	0	-5	9055	126	0	0
LOC126861963	0	-5	9055	126	0	0
LOC126861964	0	-5	9055	126	0	0
LOC126861965	0	-5	9055	126	0	0
LOC126861966	0	-5	9055	126	0	0
LOC126861967	0	-5	9055	126	0	0
LOC126861968	0	-5	9055	126	0	0
LOC126861969	0	-5	9055	126	0	0
LOC126861970	0	-5	9055	126	0	0
LOC126861971	0	-5	9055	126	0	0
LOC126861972	0	-5	9055	126	0	0
LOC126861973	0	-5	9055	126	0	0
LOC126861974	0	-5	9055	126	0	0
LOC126861975	0	-5	9055	126	0	0
LOC126861976	0	-5	9055	126	0	0
LOC126861977	0	-5	9055	126	0	0
LOC126861978	0	-5	9055	126	0	0
LOC126861979	0	-5	9055	126	0	0
LOC126861980	0	-5	9055	126	0	0
LOC126861981	0	-5	9055	126	0	0
LOC126861982	0	-5	9055	126	0	0
LOC126861983	0	-5	9055	126	0	0
LOC126861984	0	-5	9055	126	0	0
LOC126861985	0	-5	9055	126	0	0
LOC126861986	0	-5	9055	126	0	0
LOC126861987	0	-5	9055	126	0	0
LOC126861988	0	-5	9055	126	0	0
LOC126861989	0	-5	9055	126	0	0
LOC126861990	0	-5	9055	126	0	0
LOC126861991	0	-5	9055	126	0	0
LOC126861992	0	-5	9055	126	0	0
LOC126861993	0	-5	9055	126	0	0
LOC126861994	0	-5	9055	126	0	0
LOC126861995	0	-5	9055	126	0	0
LOC126861996	0	-5	9055	126	0	0
LOC126861997	0	-5	9055	126	0	0
LOC126861998	0	-5	9055	126	0	0
LOC126861999	0	-5	9055	126	0	0
LOC126862000	0	-5	9055	126	0	0
LOC126862001	0	-5	9055	126	0	0
LOC126862002	0	-5	9055	126	0	0
LOC126862003	0	-5	9055	126	0	0
LOC126862004	0	-5	9055	126	0	0
LOC126862005	0	-5	9055	126	0	0
LOC126862006	0	-5	9055	126	0	0
LOC126862007	0	-5	9055	126	0	0
LOC126862008	0	-5	9055	126	0	0
LOC126862009	0	-5	9055	126	0	0
LOC126862010	0	-5	9055	126	0	0
LOC126862011	0	-5	9055	126	0	0
LOC126862012	0	-5	9055	126	0	0
